player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Trace McSorley,32819,QB,BLT,2,11,50,2,2,10.5,3.7,0,0,0,0,0,2,100,2,18.2,1,0,,,,,63.6,25.4,66.9,,26.8,,,,0,0,2,0,39.6,0,0,0,0,0,0,1,50,0,0,0,3,74.1,57.4,55.5,61.2,66.7,6,8,8.8,2.52,1,0,0,37.5,3,2,25,9,81.8,1,3,,,,,70.9,82.6,71.9,,77.8,,64.5,,0,0,9,0,119.8,0,0,1,0,1,1,0,0,90,11.3,60,5,6,8,2.13,1,0,0,33.3,2,0,33.3,7,63.6,1,2,,,,,69.6,79.7,71.1,,74.4,,64.5,,0,0,7,,121.5,0,0,1,0,0,1,0,0,77,12.8,0,66.7,3,4,11.3,3.8,0,0,0,25,1,4,50,4,36.4,1,1,,,,,66.9,33.8,69.2,,36,,,,0,0,4,0,40.6,0,0,0,0,1,0,1,25,13,3.3
Case Keenum,7323,QB,CLV,1,10,66.7,3,3,3.3,2.1,0,0,0,66.7,2,0,0,3,30,0,1,,,,,65.5,65.7,68.2,,65.1,,,,0,0,3,,70.1,0,0,0,0,0,0,0,0,7,2.3,0,8,71.4,44.7,45.4,,50,6,7,3.7,2.11,0,0,0,42.9,3,2,0,7,70,0,1,,,,,69.6,35.8,71.1,,37.7,,,,0,0,7,0,61,0,0,0,0,1,0,0,0,39,5.6,62.5,8,8,3.3,1.9,0,0,0,62.5,5,0,0,8,80,0,2,,,,,70.3,50.6,71.5,,51.3,,,,0,0,8,,78.1,0,0,0,0,0,0,0,0,46,5.8,0,0,1,2,6,2.95,0,0,0,0,0,2,,2,20,0,0,,,,,63.6,44,66.9,,45.5,,,,0,0,2,0,39.6,0,0,0,0,1,0,0,0,0,0
Nathan Peterman,11926,QB,LV,1,8,100,2,2,2.5,3.1,0,0,0,100,2,1,0,4,50,0,2,,,,,66.9,59.7,69.2,,52.1,,63.9,,0,0,4,100,110.4,25,1,1,0,0,0,0,0,21,10.5,0,23,70.3,60.2,54.4,63.9,33.3,3,3,1.7,2.73,0,0,0,33.3,1,1,0,4,50,0,0,,,,,66.9,60.3,69.2,,60.2,,,,0,0,4,100,42.4,25,1,0,0,0,0,0,0,4,1.3,60,5,5,2,2.75,0,0,0,60,3,0,0,6,75,0,2,,,,,68.9,69.6,70.6,,63.7,,63.9,,0,0,6,,72.9,0,0,1,0,0,0,0,0,25,5,0,,0,0,,3.4,0,0,,,0,2,,2,25,0,0,,,,,63.6,47.6,66.9,,49.5,,,,0,0,2,100,0,100,2,0,0,0,0,0,0,0,
Geno Smith,7820,QB,SEA,1,6,100,3,4,4,2.42,0,0,0,75,3,2,0,5,83.3,0,2,,,,,68,58.3,69.9,,58.4,,,,1,0,5,50,92.7,20,1,0,0,0,0,0,0,27,6.8,0,29,70.8,62.2,67.4,53.9,100,1,1,6,1.8,0,0,0,100,1,0,0,1,16.7,0,1,,,,,60.4,73.7,64.6,,72.2,,,,0,0,1,,91.7,0,0,0,0,0,0,0,0,6,6,100,4,4,4.5,1.83,0,0,0,100,4,0,0,4,66.7,0,3,,,,,66.9,73.2,69.2,,71.9,,,,0,0,4,,101,0,0,0,0,0,0,0,0,33,8.3,0,,0,1,,3.3,0,0,0,0,0,2,,2,33.3,0,0,,,,,63.6,55.4,66.9,,56.1,,,,1,0,2,50,39.6,50,1,0,0,0,0,0,0,0,0
Tyler Bray,8440,QB,CHI,1,5,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,6,68,40.7,42.2,,33.3,3,5,11.7,2.22,0,0,0,20,1,2,0,5,100,0,1,,,,,68,40.7,69.9,,42.2,,,,1,0,5,0,42.1,0,0,0,1,0,0,0,0,18,3.6,0,2,3,16,1.87,0,0,0,0,0,0,,3,60,0,0,,,,,65.5,38.9,68.2,,40.8,,,,0,0,3,,39.6,0,0,0,1,0,0,0,0,0,0,0,100,1,2,3,2.75,0,0,0,50,1,2,0,2,40,0,1,,,,,63.6,58.8,66.9,,58.9,,,,1,0,2,0,81.3,0,0,0,0,0,0,0,0,18,9
Joshua Dobbs,11890,QB,PIT,1,5,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,25,70.2,70,61.8,68.7,100,4,5,-3.5,2.14,0,0,0,80,4,1,0,5,100,0,0,,,,,68,62.1,69.9,,61.8,,,,0,0,5,0,79.2,0,0,0,0,1,0,0,0,2,0.4,100,4,4,-3.5,1.1,0,0,0,100,4,0,0,4,80,0,0,,,,,66.9,64.6,69.2,,64.1,,,,0,0,4,,79.2,0,0,0,0,0,0,0,0,2,0.5,0,,0,1,,6.3,0,0,0,0,0,1,,1,20,0,0,,,,,60.4,60,64.6,,60,,,,0,0,1,0,39.6,0,0,0,0,1,0,0,0,0,0
Tyler Huntley,46448,QB,BLT,2,5,100,2,2,1,1.95,0,0,0,100,2,0,0,2,40,0,0,,,,,63.6,62.6,66.9,,62.2,,,,0,0,2,,81.3,0,0,0,0,0,0,0,0,7,3.5,0,3,74.9,63.9,68.2,58,33.3,3,3,20,3.43,0,0,0,33.3,1,2,0,3,60,0,0,,,,,65.5,68.3,68.2,,67.5,,,,0,0,3,0,42.4,0,0,0,0,0,0,0,0,8,2.7,66.7,3,3,7.7,2.1,0,0,0,66.7,2,0,0,3,60,0,0,,,,,65.5,77.7,68.2,,76.1,,,,0,0,3,,70.1,0,0,0,0,0,0,0,0,7,2.3,0,50,2,2,19.5,3.95,0,0,0,50,1,2,0,2,40,0,0,,,,,63.6,53.5,66.9,,54.1,,,,0,0,2,0,60.4,0,0,0,0,0,0,0,0,8,4
Cedrick Wilson Jr.,48170,WR,DAL,3,4,,0,0,,4.2,0,0,,,0,1,,1,25,0,0,,,,76.5,70.6,72.4,77.4,,60,71.7,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,,0,9,79.9,61.1,71.2,56,100,2,2,1,3.93,0,0,0,100,2,1,0,3,75,0,1,60.7,70.2,60,39.1,72,56.8,81.1,,74.4,54.6,,,0,0,3,100,154.2,33.3,1,0,0,0,1,0,0,23,11.5,100,2,2,1,3.5,0,0,0,100,2,0,0,2,50,0,1,60.7,70.2,60,50.1,73.4,63.8,80.5,,76.7,61.2,,,0,0,2,,154.2,0,0,0,0,0,1,0,0,23,11.5,1,,0,0,,4.5,0,0,,,0,2,,2,50,0,0,,,,70.5,68,59.7,78.4,,56.4,60.5,,,0,0,2,100,0,100,2,0,0,0,0,0,0,0,
Lynn Bowden Jr.,61361,WR,MIA,3,4,0,1,1,18,6.35,0,0,0,0,0,1,,2,50,0,0,,,,77.3,71.6,71.7,81.1,,54,69.9,65.6,,0,0,2,0,39.6,0,0,1,0,0,0,0,0,0,0,0,17,78.8,68.8,55.5,77.9,100,1,1,-3,5.3,0,0,0,100,1,0,0,2,50,0,1,,,,83.2,74.7,60.7,82.2,,60,60.5,58.3,,0,0,2,,118.8,0,0,1,0,0,0,0,0,32,32,100,1,1,-3,5.8,0,0,0,100,1,0,0,3,75,0,1,,,,85.3,76,68.1,82.4,,60,66.6,66.4,,0,0,3,,118.8,0,0,2,0,0,0,0,0,32,32,0,0,1,1,18,5.9,0,0,0,0,0,1,,1,25,0,0,,,,72.1,68,58.3,81.1,,54,59.3,,,0,0,1,0,39.6,0,0,0,0,0,0,0,0,0,0
Jarvis Landry,8698,WR,CLV,4,4,100,2,2,22,3.9,0,1,50,100,2,1,0,2,50,0,2,,,,76.7,76.7,87.3,35.4,,85.9,83.4,,,0,0,2,0,158.3,0,0,0,0,0,1,0,0,43,21.5,1,8,51.2,84.2,89.9,67.8,100,2,2,7,3.4,0,1,50,100,2,2,0,2,50,0,2,,,,60.4,32.7,77.1,83.8,,80.6,74.1,,,0,0,2,0,118.8,0,0,0,0,0,0,0,0,31,15.5,100,1,1,39,4.9,0,1,100,100,1,0,0,1,25,0,1,,,,77.5,80.7,89.9,54.9,,82.2,87,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,37,37,4,100,3,3,6.3,3.23,0,1,33.3,100,3,3,0,3,75,0,3,,,,41.1,21.2,62.4,81.5,,85.1,57.8,,,0,0,3,0,118.1,0,0,0,0,0,0,0,0,37,12.3
Logan Woodside,46517,QB,TEN,2,3,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,31,72.8,66.4,60,66.5,33.3,3,3,6.3,2.5,0,0,0,33.3,1,0,0,3,100,0,1,,,,,65.5,60.1,67.5,,60,,,,0,0,3,,42.4,0,0,0,0,0,0,0,0,7,2.3,33.3,3,3,6.3,2.5,0,0,0,33.3,1,0,0,3,100,0,1,,,,,65.5,60.1,67.5,,60,,,,0,0,3,,42.4,0,0,0,0,0,0,0,0,7,2.3,0,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,
Greg Ward,12258,WR,PHI,2,2,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,74.9,26.2,64.4,83.6,,,63.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,,1,24,41.3,58.8,68.8,48.6,100,1,1,15,5.9,0,0,0,100,1,2,0,2,100,0,1,,,,66,76.5,55.4,59.7,,68.8,55.6,55.7,,0,0,2,0,118.8,0,0,1,0,0,0,0,0,15,15,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,76,31.2,61.7,56.5,,,61.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,,1,100,1,1,15,5.9,0,0,0,100,1,2,0,2,100,0,1,,,,58.5,72,54.4,84.8,,68.8,54,55.7,,0,0,2,0,118.8,0,0,1,0,0,0,0,0,15,15
A.J. McCarron,8799,QB,HST,2,2,,0,0,,3.7,0,0,,,0,1,,1,50,0,0,,,,,60.4,60,64.6,,60,,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,,0,13,63.6,64.1,63.3,,100,1,1,18,2.1,0,0,0,100,1,0,0,1,50,0,1,,,,,60.4,73.1,60.4,,68.8,,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,20,20,100,1,1,18,2.1,0,0,0,100,1,0,0,1,50,0,1,,,,,60.4,73.1,60.4,,68.8,,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,20,20,0,,0,0,,3.7,0,0,,,0,1,,1,50,0,0,,,,,60.4,60,64.6,,60,,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,
Tyler Boyd,10689,WR,CIN,2,2,50,2,2,0.5,3.65,0,0,0,50,1,1,0,2,100,0,1,,,,74.2,76,76.6,83.8,,55,76.8,,,0,0,2,0,77.1,0,0,0,0,0,0,0,0,16,8,2,7,53.8,75.8,55,65.6,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,87.9,39.4,71.9,47.8,,,71.6,,,0,0,0,,0,,0,0,0,0,0,0,,0,,100,1,1,-6,3.3,0,0,0,100,1,0,0,1,50,0,1,,,,90.9,45.3,76.4,44.5,,60,76.2,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,16,16,3,0,1,1,7,4,0,0,0,0,0,1,,1,50,0,0,,,,51.2,73.3,67.7,85.1,,54.7,67.6,,,0,0,1,0,39.6,0,0,0,0,0,0,0,0,0,0
Travis Kelce,7844,TE,KC,2,2,0,1,1,4,4.7,0,0,0,0,0,0,,1,50,0,0,,,,74.9,75.9,89.8,83.4,,58,89.6,,,0,0,1,,39.6,0,0,0,0,0,0,0,0,0,0,0,16,59.7,93.5,58.8,,100,1,1,-3,1.6,0,0,0,100,1,0,0,1,50,0,1,60,60,62.9,90.7,52.5,93.3,39.8,,60,93.1,,,0,0,1,,83.3,0,0,0,0,0,0,0,0,4,4,50,2,2,0.5,3.15,0,0,0,50,1,0,0,2,100,0,1,60,60,62.9,90.5,81.9,92.1,35.3,,58.8,92,,,0,0,2,,56.3,0,0,0,0,0,0,0,0,4,2,7,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,78.9,28,92.6,86.4,,,92.2,,,0,0,0,,0,,0,0,0,0,0,0,,0,
Joseph Charlton,33672,P,CAR,2,2,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,5,63.6,69.6,67.4,,100,1,1,18,2.45,0,0,0,100,1,1,0,2,100,0,1,,,,,63.6,70.4,67.4,,67.4,,,,0,0,2,100,118.8,50,1,0,0,0,0,0,0,28,28,100,1,1,18,1.9,0,0,0,100,1,0,0,1,50,0,1,,,,,60.4,73.1,65.7,,68.8,,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,28,28,0,,0,0,,3,0,0,,,0,1,,1,50,0,0,,,,,60.4,59.5,65.7,,60,,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,
Golden Tate,5585,WR,NYG,2,2,100,1,1,-6,3.6,0,0,0,100,1,1,0,1,50,0,1,,,,46,72.3,66.5,80,,60.3,65.7,,,0,0,1,0,118.8,0,0,0,0,0,0,0,0,18,18,1,21,79.9,66,58.8,,,0,1,,5.8,0,0,0,0,0,1,,1,50,0,0,,,,84.9,75.3,65.8,83.7,,60,65.2,,,0,0,1,0,39.6,0,0,0,0,1,0,0,0,0,0,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,75.5,75.9,67.7,82.9,,,66.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,,2,100,1,2,-6,4.7,0,0,0,50,1,2,0,2,100,0,1,,,,54.9,71.1,63.3,81.4,,58.8,62.9,,,0,0,2,0,81.3,0,0,0,0,1,0,0,0,18,9
Julian Edelman,5156,WR,NE,1,2,100,1,1,3,4,0,0,0,100,1,0,0,1,50,0,1,,,,38.4,71.1,56.6,81.2,,60,59.5,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,16,16,0,19,75.8,68.8,61.6,62.6,100,1,1,-6,3.7,0,0,0,100,1,0,0,1,50,0,1,,,,45.7,72.3,75.6,80.5,,60,74.1,,,0,0,1,,118.8,0,0,0,0,0,0,0,0,22,22,100,2,2,-1.5,3.85,0,0,0,100,2,0,0,2,100,0,2,,,,29.7,73.9,65.7,82.6,,61.6,67,,,0,0,2,,118.8,0,0,0,0,0,0,0,0,38,19,0,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,73.4,68,71,77.6,,,69.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,
Russell Gage,44771,WR,ATL,2,2,100,2,2,38,2.75,0,2,100,50,1,1,50,2,100,1,1,,,,62.3,75.8,78.8,82.5,,98.8,71.6,,,0,0,2,0,135.4,0,0,0,0,0,1,0,0,39,19.5,0,2,81.8,76.4,98.8,62.6,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,56,79,72.7,83.7,,,71.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,,100,1,1,38,2.3,0,1,100,0,0,0,100,1,50,1,0,,,,61.7,80.1,77.7,83.5,,86.9,75,,,0,0,1,,39.6,0,0,0,0,0,0,0,0,0,0,1,100,1,1,38,3.2,0,1,100,100,1,1,0,1,50,0,1,,,,51.2,73.3,70.1,82.8,,93,66,,,0,0,1,0,158.3,0,0,0,0,0,1,0,0,39,39
Jakobi Meyers,47468,WR,NE,2,2,100,1,1,28,3.4,0,1,100,100,1,1,0,1,50,0,1,,,,70.3,77.3,83.3,83.3,,81,80.7,,,0,0,1,0,158.3,0,0,0,0,0,1,0,0,24,24,0,19,46.4,78.6,85.4,60.3,100,1,1,12,3.9,0,0,0,100,1,0,0,1,50,0,1,,,,77.3,27.4,74,83.2,,68.8,72.9,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,19,19,100,1,1,12,3.9,0,0,0,100,1,0,0,1,50,0,1,,,,79.3,79.5,84.9,83.6,,68.8,83.9,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,19,19,3,100,1,1,28,3.4,0,1,100,100,1,1,0,1,50,0,1,,,,63.2,21.8,67.6,83,,81,63.7,,,0,0,1,0,158.3,0,0,0,0,0,1,0,0,24,24
James Robinson,22425,HB,JAX,1,1,,0,0,,3.4,0,0,,,0,1,,1,100,0,0,,,,60.6,12.7,40.1,82.5,,60,45.4,,,0,0,1,100,0,100,1,0,0,0,0,1,100,0,,0,15,72.2,72.9,60,78.5,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,73.3,77.9,66.9,84.8,,,72.4,,,0,0,0,,0,,0,0,0,0,0,0,,0,,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,81.3,29.1,65.5,85.1,,,67.2,,,0,0,0,,0,,0,0,0,0,0,0,,0,,2,,0,0,,3.4,0,0,,,0,1,,1,100,0,0,,,,46.3,19.5,42.7,82.1,,60,56.1,,,0,0,1,100,0,100,1,0,0,0,0,1,100,0,
Tim Boyle,21956,QB,GB,1,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,12,22.8,52.3,60,63,,0,0,,2.6,0,0,,,0,1,,1,100,0,0,,,,,26.7,60,64.6,,60,,,,0,0,1,100,0,100,1,0,0,0,0,1,100,0,,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,,0,0,,2.6,0,0,,,0,1,,1,100,0,0,,,,,26.7,60,64.6,,60,,,,0,0,1,100,0,100,1,0,0,0,0,1,100,0,
Zach Pascal,12303,WR,IND,1,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,60.6,71.5,61.9,81.2,,,60.6,,,0,0,0,,0,,0,0,0,0,0,0,,0,,1,14,79.2,64.2,48.9,,0,1,1,13,3,0,0,0,0,0,0,,1,100,0,0,,,,61.9,77.5,64.2,60.3,,48.9,64,,,0,0,1,,39.6,0,0,0,0,0,0,0,0,0,0,0,1,1,13,3,0,0,0,0,0,0,,1,100,0,0,,,,64.3,77.9,60,59.9,,48.9,59.5,,,0,0,1,,39.6,0,0,0,0,0,0,0,0,0,0,4,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,54.5,70.1,72.7,83,,,71.7,,,0,0,0,,0,,0,0,0,0,0,0,,0,
Jamison Crowder,9538,WR,NYJ,1,1,100,1,1,26,3.9,0,0,0,100,1,0,0,1,100,0,1,,,,86.9,76.3,76.9,83,,71,76.5,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,43,43,0,22,80.8,75.3,71,63.1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,69,76.8,71.6,83.5,,,71.6,,,0,0,0,,0,,0,0,0,0,0,0,,0,,100,1,1,26,3.9,0,0,0,100,1,0,0,1,100,0,1,,,,83.2,78.4,75.8,83.7,,71,76.1,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,43,43,2,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,68.7,73.9,71.2,82.7,,,70.3,,,0,0,0,,0,,0,0,0,0,0,0,,0,
James White,8765,HB,NE,1,1,,0,0,,4.9,0,0,,,0,0,,1,100,0,0,,,,67.7,73.9,61.2,82.2,,,82.1,58.3,,0,0,1,,0,0,0,1,0,0,0,0,0,0,,0,19,55.9,65.5,,58.2,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,78.9,77,68.8,82.3,,,76.6,,,0,0,0,,0,,0,0,0,0,0,0,,0,,,0,0,,4.9,0,0,,,0,0,,1,100,0,0,,,,73.2,78,68.4,84.1,,,74.8,58.3,,0,0,1,,0,0,0,1,0,0,0,0,0,0,,0,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,78.7,71.5,60.2,79.5,,,89.9,,,0,0,0,,0,,0,0,0,0,0,0,,0,
Isaiah Wright,40113,WR,WAS,1,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,70.5,65.8,53.7,80.5,,,53.8,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,32,48.2,59,60,66.5,,0,1,,6.4,0,0,0,0,0,1,,1,100,0,0,60.7,70.2,60,85.7,75.8,60.7,84.6,,60,61.7,,,0,0,1,0,39.6,0,0,0,0,1,0,0,0,0,0,,0,0,,,0,0,,,0,0,,0,0,0,0,60.7,70.2,60,86.5,75.9,60.9,84.7,,,61.6,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,,0,1,,6.4,0,0,0,0,0,1,,1,100,0,0,,,,64.7,63.8,52,80.2,,60,52.5,,,0,0,1,0,39.6,0,0,0,0,1,0,0,0,0,0
Cole Beasley,7330,WR,BUF,1,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,88.3,76.8,73,83.3,,,73.7,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,4,82.3,84.9,72.1,,100,1,1,23,3.3,0,0,0,100,1,0,0,1,100,0,1,,,,86.5,79.5,89.3,52.4,,72.1,88.6,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,20,20,100,1,1,23,3.3,0,0,0,100,1,0,0,1,100,0,1,,,,90.1,80.9,86.2,54.5,,72.1,86.6,,,0,0,1,,158.3,0,0,0,0,0,1,0,0,20,20,2,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,82.7,73.9,75.9,82.9,,,74.9,,,0,0,0,,0,,0,0,0,0,0,0,,0,
CeeDee Lamb,61570,WR,DAL,1,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,42.9,25.9,63.6,85,,,65,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,9,67.2,71.6,60,73.9,,0,0,,6,0,0,,,0,1,,1,100,0,0,,,,56.6,79.3,73.3,35.5,,60,74.2,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,47,80.6,73,62.2,,,74.4,,,0,0,0,,0,,0,0,0,0,0,0,,0,,4,,0,0,,6,0,0,,,0,1,,1,100,0,0,,,,60.2,20.8,62.4,35.1,,60,63,,,0,0,1,100,0,100,1,0,0,0,0,0,0,0,
Brett Kern,4580,P,TEN,2,1,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,,0,,0,31,60.4,53.8,55.5,,0,1,1,17,4,0,0,0,0,0,1,,1,100,0,0,,,,,60.4,52.8,66.5,,55.5,,,,0,0,2,0,39.6,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,,,,,,53.4,60.5,,56.9,,,,0,0,1,,0,,0,0,0,0,0,0,0,0,,0,0,1,1,17,4,0,0,0,0,0,1,,1,100,0,0,,,,,60.4,57.3,65.7,,58.1,,,,0,0,1,0,39.6,0,0,0,0,0,0,0,0,0,0
Brandon Zylstra,66438,WR,CAR,1,1,,0,0,,7.3,0,0,,,0,0,,1,100,0,0,,,,64.7,63.8,56.9,75.5,,,58.1,58.3,,0,0,1,,0,0,0,1,0,0,0,0,0,0,,0,5,68.8,54.8,,58.3,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,68.3,64,55.2,78.2,,,55.2,,,0,0,0,,0,,0,0,0,0,0,0,,0,,,0,0,,7.3,0,0,,,0,0,,1,100,0,0,,,,70.5,67,59.2,78,,,59.8,58.3,,0,0,1,,0,0,0,1,0,0,0,0,0,0,,0,,0,0,,,0,0,,,0,0,,0,0,0,0,,,,,,49.8,75.9,,,50.5,,,0,0,0,,0,,0,0,0,0,0,0,,0,
