Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Jeremy Langford,CHI,9,17,4,20.0%,8,15,4,30.8%,5,5,4,38.5%,All Jeremy Langford red zone rushing plays,LangJe00
Marcus Mariota,TEN,9,62,2,12.7%,3,13,1,7.0%,0,0,0,.0%,All Marcus Mariota red zone rushing plays,MariMa01
Paul Perkins,NYG,9,35,0,21.4%,2,4,0,8.0%,1,0,0,5.3%,All Paul Perkins red zone rushing plays,PerkPa00
Dak Prescott,DAL,9,36,5,14.8%,9,36,5,23.1%,3,2,2,17.6%,All Dak Prescott red zone rushing plays,PresDa01
Aaron Ripkowski,GNB,9,16,2,16.1%,4,6,2,12.9%,2,4,2,13.3%,All Aaron Ripkowski red zone rushing plays,RipkAa00
Ryan Tannehill,MIA,9,31,1,16.4%,4,-1,1,12.5%,2,2,1,12.5%,All Ryan Tannehill red zone rushing plays,TannRy00
Damien Williams,MIA,9,14,3,16.4%,6,1,2,18.8%,6,1,2,37.5%,All Damien Williams red zone rushing plays,WillDa05
DeAngelo Williams,PIT,9,27,4,19.6%,4,10,3,18.2%,2,3,2,22.2%,All DeAngelo Williams red zone rushing plays,WillDe02
Drew Brees,NOR,8,11,2,9.3%,5,4,2,9.6%,2,2,2,8.3%,All Drew Brees red zone rushing plays,BreeDr00
Kenneth Farrow,SDG,8,25,0,11.6%,3,1,0,8.3%,2,3,0,10.0%,All Kenneth Farrow red zone rushing plays,FarrKe02
Chris Johnson,ARI,8,30,1,11.1%,3,6,1,6.8%,1,3,1,3.7%,All Chris Johnson red zone rushing plays,JohnCh04
Carson Wentz,PHI,8,16,2,10.4%,3,5,2,6.4%,2,5,2,8.0%,All Carson Wentz red zone rushing plays,WentCa00
Peyton Barber,TAM,7,19,0,12.1%,3,6,0,10.7%,0,0,0,.0%,All Peyton Barber red zone rushing plays,BarbPe01
Josh Ferguson,IND,7,-1,0,10.8%,0,0,0,.0%,0,0,0,.0%,All Josh Ferguson red zone rushing plays,FergJo02
Justin Forsett,3TM,7,7,1,,4,7,1,,1,1,1,,All Justin Forsett red zone rushing plays,ForsJu00
