Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
4.4,Dareke Young,SEA,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,4.4
128.6,Jahan Dotson,WAS,18,15.9,3,13.3,,,,,,2.4,2.6,0,16.4,,20.5,19.6,6.7,10.2
55.5,Rashod Bateman,BLT,13.9,20.8,7.9,4.7,,,8.2,0,,,,,,,,,,
24.3,DeSean Jackson,BLT,,,,,,,,,2.6,,,9.4,3,5.4,0,2,1.9,
0,Stanley Morgan,CIN,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0
159.4,Courtland Sutton,DEN,11.2,19.7,17.7,16.2,12.4,3.4,5.3,2.3,,12.6,13,13.5,0,,,11.4,8.4,12.3
246.4,Ja'Marr Chase,CIN,28.9,10.8,14.7,12.1,12,32.2,33,,,,,,16.7,28.5,19,15.9,,22.6
6.4,Racey McMath,TEN,,,,,,,,,,,,,,0,1.1,,4.9,0.4
4.5,Bryan Edwards,ATL,0,1.2,,,2,0,0,1.3,,0,,,,,,,,
32.9,Jalen Nailor,MIN,,,,2.3,,,,,,,2.5,,0,,0,,17.9,10.2
0,Willie Snead IV,SF,,,,,,0,,0,,,,,,,0,0,,
58.5,Justin Watson,KC,0,13,0,0,2,0,7.4,,5.7,2.2,9.7,4.6,2.5,0,0,0,3.7,7.7
7.2,Montrell Washington,DEN,,1.9,0,1.4,0.9,1,0.2,1.1,,0,0,0.8,-0.1,0,0,0,,
20.8,Anthony Schwartz,CLV,4.9,0,0,0,0,0,,,,1.3,0,11.8,2.8,,,,,
25.8,KJ Hamler,DEN,0,,0,6.5,2,6.4,2.8,8.1,,,,,,,,,,
176.7,Diontae Johnson,PIT,12.5,11.7,16.4,4.2,11,8.6,9.5,8.5,,10.3,6.2,9.9,11,14.2,20,11.4,5.5,5.8
112,Olamide Zaccheaus,ATL,8.9,10.1,6.9,7.5,11.9,9.8,6.1,1.4,3.9,5.4,3.2,14.1,3.3,,0,5.8,0,13.7
0,Josh Gordon,TEN,,0,0,,,,,,,,,,,,,,,
164.1,Christian Watson,GB,6.1,3.9,,9.3,0.8,,,2.2,4.4,32.7,21.1,21,24.4,,8.6,10.9,2.1,16.6
182.3,Jakobi Meyers,NE,10.2,18.5,,,24.1,10,11.4,21,9.4,,9.2,9.2,5.2,,4.7,20.3,16.9,12.2
63.2,Tutu Atwell,LA,0,0,0,,6.4,0.9,,,,,13.2,4.3,9.1,9.5,1.6,3.4,3,11.8
25.3,Breshad Perriman,TB,-0.7,13.5,7.4,,,0,0,2.1,1.1,0,,0,,,0,,,1.9
14.2,James Proche II,BLT,0,,,0,1.7,0,0,5.4,4.2,,0,0,2.9,0,0,,0,0
37.8,Marquez Callaway,NO,0,0,7.4,8.3,2.5,6.6,4,2,5.4,,1.6,,0,,0,0,,0
103,Chase Claypool,CHI,9.4,6.6,7.6,0,10,23.4,9.1,8.5,3.7,1.8,3.1,7.1,7.8,,,,0,4.9
4.4,Dezmon Patmon,IND,,4.4,,,,,,,,,,,,,,,,
4.2,Andy Isabella,BLT,2,,2.1,0,,,,,,,,,,,,0,0.1,
97.6,Corey Davis,NYJ,13.7,16.3,4.7,18.4,5.8,7.2,0,,,,,1.9,13.5,2.5,,3.4,7.5,2.7
114.6,Greg Dortch,ARZ,13.3,15.5,17,1.6,0,0,7.6,3.2,0.8,0,19.3,,,0,0,22.3,5.5,8.5
8.4,Cody Hollister,TEN,3.2,0,0,0,0,,5.2,0,0,0,0,0,,,,,,
261.2,Jaylen Waddle,MIA,17.7,40.1,15.1,5.9,5.3,18.9,12.8,30.6,19.5,10.6,,13.5,1.9,5.1,20.4,25.3,8.2,10.3
0,James Washington,DAL,,,,,,,,,,,,,,0,0,,,
83,Terrace Marshall Jr.,CAR,,0,,,7,0,5.1,12.7,14.3,5.3,10.6,1.8,,2.8,8.1,7.5,3.5,4.3
173.6,Gabe Davis,BUF,18.8,,6.7,2.3,32.1,16.4,,5.5,5.3,21.3,11.8,7.8,9.5,6.1,9.6,13.5,,6.9
4.8,Tyrie Cleveland,DEN,0,4.8,,,0,,,,,0,,,,,,,,
0,Trinity Benson,DET,,,,,,,,,,0,,,,,,,,
0,Johnny Johnson III,HST,,,,,,,,,,,,,,,,,,0
117.7,Robert Woods,TEN,2.3,7.9,12.5,13,7.7,,5.6,4.6,0,3,12.9,3.6,1.6,9.9,3.2,7,14.9,8
267.6,Amon-Ra St. Brown,DET,20.4,39.4,13.3,,5.8,,1.4,13.9,9.5,22.1,15,27.9,34.6,13.4,15.2,14.6,10.2,10.9
116.5,Noah Brown,DAL,11.8,20.1,10.4,9.1,1.5,2,10,,,1.3,6.2,0,3.5,12.5,22.9,1.5,1.7,2
0,Raleigh Webb,NE,,,,,,,,,0,,0,,,,,,,
3.6,Dennis Houston,DAL,3.6,0,,,,,,,,,,,,,,,,
68.3,Jamal Agnew,JAX,2.2,0.1,2.7,21,0.3,3.4,,,0,3.4,,14.7,0.3,7.4,8.4,1.8,0.8,1.8
12,Jamison Crowder,BUF,5.8,2.6,1.9,1.7,,,,,,,,,,,,,,
103.9,Josh Reynolds,DET,3.8,12.8,15.6,21.1,15.2,,1.8,3.4,,,,0,4.9,16.1,0,5.1,1.5,2.6
78.9,Van Jefferson,LA,,,,,,,,0,0,11.7,7.1,11.9,5.9,12.4,5.2,4.9,10.7,9.1
5,Penny Hart,SEA,,0,2.5,0,0,,,,0,0,,,,,1.3,1.2,,
0,Preston Williams,CAR,,,,,,,,,,,,,,,,,,0
229.8,Brandon Aiyuk,SF,6.7,11.3,12.9,7.7,8.8,28.3,15.2,20.1,,14.4,16,11.5,9.6,13.7,3.9,13.1,26.7,9.9
