Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Ben Roethlisberger,PIT,1,7,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Ben Roethlisberger red zone rushing plays,RoetBe00
Sterling Shepard,NYG,1,-2,0,2.1%,1,-2,0,3.3%,0,0,0,.0%,All Sterling Shepard red zone rushing plays,ShepSt00
Anthony Sherman,KAN,1,5,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Anthony Sherman red zone rushing plays,SherAn00
Steven Sims,WAS,1,4,0,2.3%,0,0,0,.0%,0,0,0,.0%,All Steven Sims red zone rushing plays,SimsSt00
Jonnu Smith,TEN,1,4,0,1.8%,0,0,0,.0%,0,0,0,.0%,All Jonnu Smith red zone rushing plays,SmitJo01
Vyncint Smith,NYJ,1,19,1,3.1%,0,0,0,.0%,0,0,0,.0%,All Vyncint Smith red zone rushing plays,SmitVy00
Willie Snead,BAL,1,2,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Willie Snead red zone rushing plays,SneaWi00
Diontae Spencer,DEN,1,5,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Diontae Spencer red zone rushing plays,SpenDi00
Courtland Sutton,DEN,1,1,0,1.7%,1,1,0,3.4%,0,0,0,.0%,All Courtland Sutton red zone rushing plays,SuttCo00
Adam Thielen,MIN,1,1,1,1.1%,1,1,1,1.6%,1,1,1,4.2%,All Adam Thielen red zone rushing plays,ThieAd00
Danny Vitale,GNB,1,3,0,1.8%,0,0,0,.0%,0,0,0,.0%,All Danny Vitale red zone rushing plays,VitaDa00
Dwayne Washington,NOR,1,5,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Dwayne Washington red zone rushing plays,WashDw00
Zach Zenner,NOR,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Zach Zenner red zone rushing plays,ZennZa00
