Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
4,114,ATL,Drew Dalman,C,22,2024,0,0,2,16,16,57,0,0,0,0,0,0,0,0,0,0,0,1,,,Stanford,College Stats,DalmDr00
4,115,DAL,Jabril Cox,LB,23,2023,0,0,0,3,2,26,0,0,0,0,0,0,0,0,0,0,0,7,,,LSU,College Stats,CoxxJa00
4,116,NYG,Elerson Smith,DL,23,2024,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,4,,,Northern Iowa,,SmitEl00
4,117,LAR,Bobby Brown,DL,21,2024,0,0,2,14,14,49,0,0,0,0,0,0,0,0,0,0,0,37,,0.5,Texas A&M,College Stats,BrowBo04
4,118,LAC,Chris Rumph,DE,22,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,19,,3.0,Duke,College Stats,RumpCh00
4,119,MIN,Kene Nwangwu,RB,23,2024,0,0,0,4,3,39,0,0,0,0,0,27,88,0,6,30,0,5,,,Iowa St.,College Stats,NwanKe00
4,120,NWE,Rhamondre Stevenson,RB,23,2024,0,0,2,22,22,56,0,0,0,0,0,706,3066,21,154,950,2,3,,,Oklahoma,College Stats,StevRh00
4,121,JAX,Jordan Smith,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham,College Stats,SmitJo03
4,122,CIN,Tyler Shelvin,DT,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats,ShelTy00
4,123,PHI,Zech McPhearson,DB,23,2022,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,19,,1.0,Texas Tech,College Stats,McPhZe00
4,124,WAS,John Bates,TE,23,2024,0,0,0,5,5,67,0,0,0,0,0,0,0,0,61,592,2,5,,,Boise St.,College Stats,BateJo00
4,125,MIN,Camryn Bynum,CB,23,2024,0,0,3,20,20,65,0,0,0,0,0,0,0,0,0,0,0,217,8,1.5,California,College Stats,BynuCa00
4,126,CAR,Chuba Hubbard,RB,22,2024,0,0,2,23,23,64,0,0,0,0,0,755,3175,22,121,749,2,4,,,Oklahoma St.,College Stats,HubbCh01
4,127,IND,Kylen Granson,TE,23,2024,0,0,0,8,8,62,0,0,0,0,0,2,2,0,86,958,1,9,,,SMU,College Stats,GranKy00
4,128,PIT,Dan Moore,OL,22,2024,0,0,4,28,28,66,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MoorDa05
4,129,TAM,Jaelon Darden,WR,22,2024,0,0,0,0,0,36,0,0,0,0,0,2,13,0,9,75,0,,,,North Texas,College Stats,DardJa00
4,130,LAR,Robert Rochell,DB,23,2024,0,0,0,4,3,48,0,0,0,0,0,0,0,0,0,0,0,22,1,,Central Arkansas,,RochRo00
4,131,BAL,Tylan Wallace,WR,22,2024,0,0,0,3,3,54,0,0,0,0,0,0,0,0,18,260,1,8,,,Oklahoma St.,College Stats,WallTy00
4,132,CLE,Tommy Togiai,DT,21,2024,0,0,0,3,2,26,0,0,0,0,0,0,0,0,0,0,0,23,,2.5,Ohio St.,College Stats,TogiTo00
4,133,NOR,Ian Book,QB,23,2021,0,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,Notre Dame,College Stats,BookIa00
4,134,MIN,Janarius Robinson,DE,22,2024,0,0,0,2,,16,0,0,0,0,0,0,0,0,0,0,0,7,,1.5,Florida St.,College Stats,RobiJa04
4,135,TEN,Rashad Weaver,DL,23,2024,0,0,0,5,5,36,0,0,0,0,0,0,0,0,0,0,0,29,,5.5,Pittsburgh,College Stats,WeavRa00
4,136,ARI,Marco Wilson,CB,22,2024,0,0,3,12,12,60,0,0,0,0,0,0,0,0,0,0,0,135,3,,Florida,College Stats,WilsMa04
4,137,SEA,Tre Brown,CB,23,2024,0,0,0,6,6,39,0,0,0,0,0,0,0,0,0,0,0,63,2,1.0,Oklahoma,College Stats,BrowTr03
4,138,DAL,Josh Ball,OL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Marshall,College Stats,BallJo00
4,139,CIN,D'Ante Smith,T,23,2022,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,East Carolina,College Stats,SmitDA03
4,140,PIT,Buddy Johnson,LB,22,2024,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,8,,,Texas A&M,College Stats,JohnBu01
4,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,6,0,2,,,Central Florida,College Stats,HarrJa03
4,142,GNB,Royce Newman,G,24,2024,0,0,1,14,14,52,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi,College Stats,NewmRo00
4,143,LVR,Tyree Gillespie,S,23,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,College Stats,GillTy00
4,144,KAN,Joshua Kaindoh,DE,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats,KainJo00
5,145,JAX,Luke Farrell,TE,23,2024,0,0,0,2,2,66,0,0,0,0,0,0,0,0,36,318,0,4,,,Ohio St.,College Stats,FarrLu00
5,146,NYJ,Jamien Sherwood,DB,21,2024,0,0,1,11,11,56,0,0,0,0,0,0,0,0,0,0,0,146,,2.5,Auburn,College Stats,SherJa00
5,147,HOU,Brevin Jordan,TE,21,2024,0,0,0,4,4,36,0,0,0,0,0,0,0,0,53,532,5,1,,,Miami (FL),College Stats,JordBr00
5,148,ATL,Ta'Quon Graham,DL,22,2024,0,0,1,9,9,49,0,0,0,0,0,0,0,0,0,0,0,35,,1.0,Texas,College Stats,GrahTa00
5,149,CIN,Evan McPherson,K,22,2024,0,0,2,11,11,61,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida,College Stats,McPhEv00
5,150,PHI,Kenneth Gainwell,RB,22,2024,0,0,0,16,16,66,1,1,17,0,0,280,1185,12,102,721,1,5,,,Memphis,College Stats,GainKe00
5,151,CHI,Larry Borom,OL,22,2024,0,0,1,13,13,47,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,BoroLa00
5,152,DEN,Caden Sterns,DB,21,2023,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,36,4,2.0,Texas,College Stats,SterCa00
5,153,CLE,Tony Fields,LB,22,2024,0,0,0,9,9,45,0,0,0,0,0,0,0,0,0,0,0,48,1,,West Virginia,College Stats,FielTo00
5,154,NYJ,Michael Carter II,S,22,2024,0,0,0,9,9,60,0,0,0,0,0,0,0,0,0,0,0,152,2,1.0,Duke,College Stats,CartMi02
5,155,SFO,Jaylon Moore,T,23,2024,0,0,0,8,8,55,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats,MoorJa04
5,156,PIT,Isaiahh Loudermilk,DE,23,2024,0,0,0,6,6,58,0,0,0,0,0,0,0,0,0,0,0,38,,1.0,Wisconsin,College Stats,LoudIs00
5,157,MIN,Ihmir Smith-Marsette,WR,22,2024,0,0,0,4,1,48,0,0,0,0,0,9,73,1,14,182,2,1,,,Iowa,College Stats,SmitIh00
5,158,CAR,Daviyon Nixon,DT,22,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,Iowa,College Stats,NixoDa00
5,159,LAC,Brenden Jaimes,OL,22,2024,0,0,0,5,5,46,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats,JaimBr00
5,160,BAL,Shaun Wade,CB,22,2023,0,0,0,3,,20,0,0,0,0,0,0,0,0,0,0,0,23,,,Ohio St.,College Stats,WadeSh00
5,161,BUF,Tommy Doyle,OL,23,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats,DoylTo00
