,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Chris Conley,KAN,4,3,75.00%,20,1,6.90%,2,1,50.00%,6,1,10.50%,All Chris Conley red zone receiving plays
Benny Cunningham,STL,4,1,25.00%,10,0,11.80%,0,0,,0,0,0.00%,All Benny Cunningham red zone receiving plays
Aaron Dobson,NWE,4,2,50.00%,12,0,4.80%,2,0,0.00%,0,0,5.00%,All Aaron Dobson red zone receiving plays
Jack Doyle,IND,4,3,75.00%,9,1,5.60%,2,1,50.00%,3,1,6.10%,All Jack Doyle red zone receiving plays
Andre Ellington,ARI,4,1,25.00%,13,0,5.10%,2,0,0.00%,0,0,5.00%,All Andre Ellington red zone receiving plays
Malcom Floyd,SDG,4,1,25.00%,9,1,5.70%,2,1,50.00%,9,1,7.70%,All Malcom Floyd red zone receiving plays
Arian Foster,HOU,4,2,50.00%,21,2,5.70%,1,1,100.00%,7,1,3.40%,All Arian Foster red zone receiving plays
Frank Gore,IND,4,2,50.00%,14,1,5.60%,3,2,66.67%,14,1,9.10%,All Frank Gore red zone receiving plays
Chris Gragg,BUF,4,0,0.00%,0,0,10.30%,1,0,0.00%,0,0,5.30%,All Chris Gragg red zone receiving plays
Garrett Graham,HOU,4,1,25.00%,7,1,5.70%,2,1,50.00%,7,1,6.90%,All Garrett Graham red zone receiving plays
Clay Harbor,JAX,4,2,50.00%,17,1,4.50%,1,1,100.00%,6,1,2.00%,All Clay Harbor red zone receiving plays
Jeremy Hill,CIN,4,3,75.00%,24,1,6.20%,1,1,100.00%,3,0,3.00%,All Jeremy Hill red zone receiving plays
Andre Holmes,OAK,4,2,50.00%,8,2,7.10%,2,2,100.00%,8,2,9.10%,All Andre Holmes red zone receiving plays
Adam Humphries,TAM,4,1,25.00%,6,1,5.60%,3,1,33.33%,6,1,7.10%,All Adam Humphries red zone receiving plays
DeSean Jackson,WAS,4,1,25.00%,2,0,5.10%,1,1,100.00%,2,0,2.40%,All DeSean Jackson red zone receiving plays
Jeff Janis,GNB,4,0,0.00%,0,0,4.50%,3,0,0.00%,0,0,6.00%,All Jeff Janis red zone receiving plays
John Kuhn,GNB,4,3,75.00%,16,0,4.50%,1,1,100.00%,1,0,2.00%,All John Kuhn red zone receiving plays
Marc Mariani,CHI,4,3,75.00%,18,0,5.60%,0,0,,0,0,0.00%,All Marc Mariani red zone receiving plays
Darren McFadden,DAL,4,1,25.00%,3,0,5.60%,2,0,0.00%,0,0,5.30%,All Darren McFadden red zone receiving plays
Bruce Miller,SFO,4,2,50.00%,9,0,6.20%,3,1,33.33%,7,0,11.50%,All Bruce Miller red zone receiving plays
Lamar Miller,MIA,4,2,50.00%,19,1,5.90%,3,1,33.33%,6,0,7.00%,All Lamar Miller red zone receiving plays
Ty Montgomery,GNB,4,4,100.00%,20,1,4.50%,3,3,100.00%,18,1,6.00%,All Ty Montgomery red zone receiving plays
Hakeem Nicks,NYG,4,2,50.00%,11,0,4.90%,1,1,100.00%,7,0,2.60%,All Hakeem Nicks red zone receiving plays
Quinton Patton,SFO,4,2,50.00%,17,0,6.20%,1,0,0.00%,0,0,3.80%,All Quinton Patton red zone receiving plays
Marcel Reece,OAK,4,4,100.00%,29,3,7.10%,3,3,100.00%,18,2,13.60%,All Marcel Reece red zone receiving plays
