,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
337,Jaron Brown,ARI,2016-17,26,122,1.9625,3.55625,ARI,14.5,55.0,61.6,57.5,89.6,31.1,61.0,6.1,0.98,55.8,61.2,91.5,ARI,80.2,-0.44815465729349735,5.1000000000000005,10.933333333333334,0.7333333333333333,9.8,1.3333333333333333,0.06666666666666667,9.6,1.9333333333333333,0.4,35.125,22.0625,2.1875,288.5
339,Jeff Janis,GB,2016-17,25,120,0.61875,1.2,GB,22.2,22.2,56.0,55.1,89.3,5.3,92.0,2.7,1.18,59.6,60.3,70.6,GB,83.8,-0.48437499999999994,2.25625,7.5,0.2,6.7,0.9,0.0,7.9,2.8,0.4,35.8125,21.75,1.9375,218.9375
342,Charles Johnson,MIN,2016-17,27,125,1.9727272727272727,7.616666666666667,MIN,12.5,69.2,64.7,63.9,93.8,21.6,78.4,0.0,1.4,56.7,71.6,39.9,MIN,79.6,-0.7409986075193953,2.7,9.7,0.9,9.1,1.3,0.0,12.7,2.5,0.1,28.375,18.375,0.875,183.0
345,Marquess Wilson,CHI,2016-17,24,127,7.3090909090909095,5.285714285714286,CHI,13.7,59.6,63.5,62.6,94.1,33.2,66.8,0.0,1.26,60.6,66.1,74.5,CHI,84.2,0.3828009828009829,10.333333333333334,35.63636363636363,2.5454545454545454,33.54545454545455,4.2727272727272725,0.09090909090909091,42.18181818181818,17.363636363636363,0.45454545454545453,32.6875,20.875,1.3125,228.75
346,Harry Douglas,TEN,2016-17,32,129,6.178571428571429,10.049999999999999,TEN,12.2,51.4,60.1,59.3,91.9,25.7,72.8,0.4,0.95,63.3,59.1,61.1,TEN,80.9,-0.3852167732764747,3.272727272727273,33.57142857142857,2.5714285714285716,30.857142857142858,5.0,0.14285714285714285,29.357142857142858,9.857142857142858,0.42857142857142855,34.4375,21.375,1.5625,218.9375
347,Andre Johnson,TEN,2016-17,35,130,7.20625,12.706666666666667,IND,10.8,53.9,66.2,64.2,94.7,56.5,42.2,1.2,1.08,64.7,65.9,61.1,TEN,80.9,-0.43287644281217214,3.6875,30.625,2.5625,29.0,4.75,0.25,31.4375,10.3125,0.6875,34.4375,21.375,1.5625,218.9375
355,Vincent Jackson,TB,2016-17,33,138,10.73,11.2625,TB,13.7,57.9,79.8,77.6,91.1,25.9,72.8,1.3,1.91,74.2,77.8,67.2,TB,83.7,-0.04728079911209757,6.459999999999999,31.3,3.3,28.5,5.7,0.3,54.3,11.6,1.3,33.4375,19.5,1.375,240.75
360,Cecil Shorts,TB,2016-17,29,142,9.990909090909092,9.076923076923077,HOU,7.9,62.7,62.8,63.5,94.2,85.5,13.7,0.5,1.35,60.7,63.3,67.2,TB,83.7,0.10069337442218815,2.911111111111111,34.54545454545455,3.8181818181818183,32.54545454545455,6.090909090909091,0.18181818181818182,44.0,20.272727272727273,0.6363636363636364,33.4375,19.5,1.375,240.75
366,Markus Wheaton,PIT,2016-17,25,147,9.43125,8.20625,PIT,14.5,57.9,69.9,70.3,92.4,71.5,28.3,0.0,1.62,72.2,68.0,90.4,PIT,84.1,0.1492764661081492,5.7,31.3125,2.75,28.9375,4.75,0.3125,46.8125,10.5,0.9375,36.875,24.4375,1.625,287.6875
367,Jarius Wright,MIN,2016-17,27,148,4.94375,7.49375,MIN,9.7,75.6,69.2,67.7,94.2,70.6,29.4,0.0,1.52,75.5,61.1,39.9,MIN,79.6,-0.3402835696413679,2.9625,19.3125,2.125,18.1875,2.8125,0.0,27.625,10.8125,0.125,28.375,18.375,0.875,183.0
